address_line_1;address_line_2;business_phone_nr;code;country;guest_committed;guest_invitation_date;mobile_phone_nr;private_phone_nr;user_id;zip_code;city;age_group;gender
Rimbacher Str. 5;;09382-3155650;Admin1xv01;Deutschland;true;;0171-4024113;09382-3107990;3;97511;Lülsfeld;POST_BOUNCER_CASTLE;MALE
Rimbacher Str. 5;;09382-3155650;Admin2xv01;Deutschland;true;;0160-7225920;09382-3107990;4;97511;Lülsfeld;POST_BOUNCER_CASTLE;FEMALE
